"Sort Key","Type","Name","Version","Name Space Id","Description","Steward","Value Type","Minimum Cardinality","Maximum Cardinality","Minimum Value","Maximum Value","Minimum Characters","Maximum Characters","Unit of Measure Type","Specified Unit Id","Attribute Concept","Conceptual Domain"
"mro:HiRISE_Time_Parameters:1        ","Class","HiRISE_Time_Parameters","1.0.0.0","mro","The HiRISE_Time_Parameters class contains attributes specific to HiRISE EDRs.","geo","","","","","","","","","","",""
"mro:HiRISE_Time_Parameters:2         mro:observation_start_time:1        ","Attribute","observation_start_time","n/a","mro"," The observation_start_time attribute provides the UTC start time of a HiRISE image acquisition sequence. ","geo","ASCII_Date_Time_YMD_UTC","0","1","Unbounded","Unbounded","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"mro:HiRISE_Time_Parameters:2         mro:readout_start_time:1            ","Attribute","readout_start_time","n/a","mro"," The readout_start_time attribute provides the UTC time when the HiRISE CCD Process/Memory Module begins transferring image data out of buffer memory. ","geo","ASCII_Date_Time_YMD_UTC","0","1","Unbounded","Unbounded","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"mro:HiRISE_Time_Parameters:2         mro:readout_start_count:1           ","Attribute","readout_start_count","n/a","mro"," The readout_start_count attribute provides the spacecraft clock count when the HiRISE CCD Process/Memory Module begins transferring image data out of its buffer memory. ","geo","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"mro:HiRISE_Time_Parameters:2         mro:analog_power_start_time:1       ","Attribute","analog_power_start_time","n/a","mro"," The analog_power_start_time attribute provides the UTC time when power to the CPMM units was applied. ","geo","ASCII_Date_Time_YMD_UTC","0","1","Unbounded","Unbounded","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"mro:HiRISE_Time_Parameters:2         mro:analog_power_start_count:1      ","Attribute","analog_power_start_count","n/a","mro"," The analog_power_start_count attribute provides the spacecraft clock count when power to the CPMM units was applied. ","geo","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"mro:HiRISE_Time_Parameters:2         mro:calibration_start_time:1        ","Attribute","calibration_start_time","n/a","mro"," The calibration_start_time attribute provides the UTC time at the beginning of the first calibration image line. ","geo","ASCII_Date_Time_YMD_UTC","0","1","Unbounded","Unbounded","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"mro:HiRISE_Time_Parameters:2         mro:calibration_start_count:1       ","Attribute","calibration_start_count","n/a","mro"," The calibration_start_count attribute provides the spacecraft clock count at the beginning of the first calibration image line. ","geo","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"mro:HiRISE_Instrument_Setting_Parameters:1","Class","HiRISE_Instrument_Setting_Parameters","1.0.0.0","mro","The HiRISE_Instrument_Setting_Parameters class contains attributes specific to HiRISE EDRs.","geo","","","","","","","","","","",""
"mro:HiRISE_Instrument_Setting_Parameters:2 mro:cpmm_number:1                   ","Attribute","cpmm_number","n/a","mro"," The cpmm_number attribute provides the HiRISE CCD Processing/Memory Module number. ","geo","ASCII_Integer","0","1","-9223372036854775808","9223372036854775807","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","INTEGER"
"mro:HiRISE_Instrument_Setting_Parameters:2 mro:cpmm_number:2                    Value:0","Value","0","","","Module 0"
"mro:HiRISE_Instrument_Setting_Parameters:2 mro:cpmm_number:2                    Value:1","Value","1","","","Module 1"
"mro:HiRISE_Instrument_Setting_Parameters:2 mro:cpmm_number:2                    Value:10","Value","10","","","Module 10"
"mro:HiRISE_Instrument_Setting_Parameters:2 mro:cpmm_number:2                    Value:11","Value","11","","","Module 11"
"mro:HiRISE_Instrument_Setting_Parameters:2 mro:cpmm_number:2                    Value:12","Value","12","","","Module 12"
"mro:HiRISE_Instrument_Setting_Parameters:2 mro:cpmm_number:2                    Value:13","Value","13","","","Module 13"
"mro:HiRISE_Instrument_Setting_Parameters:2 mro:cpmm_number:2                    Value:2","Value","2","","","Module 2"
"mro:HiRISE_Instrument_Setting_Parameters:2 mro:cpmm_number:2                    Value:3","Value","3","","","Module 3"
"mro:HiRISE_Instrument_Setting_Parameters:2 mro:cpmm_number:2                    Value:4","Value","4","","","Module 4"
"mro:HiRISE_Instrument_Setting_Parameters:2 mro:cpmm_number:2                    Value:5","Value","5","","","Module 5"
"mro:HiRISE_Instrument_Setting_Parameters:2 mro:cpmm_number:2                    Value:6","Value","6","","","Module 6"
"mro:HiRISE_Instrument_Setting_Parameters:2 mro:cpmm_number:2                    Value:7","Value","7","","","Module 7"
"mro:HiRISE_Instrument_Setting_Parameters:2 mro:cpmm_number:2                    Value:8","Value","8","","","Module 8"
"mro:HiRISE_Instrument_Setting_Parameters:2 mro:cpmm_number:2                    Value:9","Value","9","","","Module 9"
"mro:HiRISE_Instrument_Setting_Parameters:2 mro:channel_number:1                ","Attribute","channel_number","n/a","mro"," The channel_number attribute provides the HiRISE CCD channel number. ","geo","ASCII_Integer","0","1","-9223372036854775808","9223372036854775807","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","INTEGER"
"mro:HiRISE_Instrument_Setting_Parameters:2 mro:channel_number:2                 Value:0","Value","0","","","channel 0"
"mro:HiRISE_Instrument_Setting_Parameters:2 mro:channel_number:2                 Value:1","Value","1","","","channel 1"
"mro:HiRISE_Instrument_Setting_Parameters:2 mro:scan_exposure_duration:1        ","Attribute","scan_exposure_duration","n/a","mro"," The scan_exposure_duration attribute provides the unbinned line readout rate of the HiRISE instrument in microseconds. This corresponds to the time between successive steps in the Time Delay Integration (TDI) process. The adjustment of this parameter is used to match image line acquisition to the boresight ground velocity. The value is the same for all CCDs for a given observation. ","geo","ASCII_Real","0","1","74","1048650","Unbounded","Unbounded","Units_of_Time","none","TBD_classConcept","REAL"
"mro:HiRISE_Instrument_Setting_Parameters:2 mro:line_exposure_duration:1        ","Attribute","line_exposure_duration","n/a","mro"," The line_exposure_duration attribute provides the time from the start of exposure of one binned line to the start of exposure of the next binned line in a HiRISE image. Units of microseconds. ","geo","ASCII_Real","0","1","-1.7976931348623157e308","1.7976931348623157e308","Unbounded","Unbounded","Units_of_Time","none","TBD_classConcept","REAL"
"mro:HiRISE_Instrument_Setting_Parameters:2 mro:image_exposure_duration:1       ","Attribute","image_exposure_duration","n/a","mro"," The image_exposure_duration attribute provides the total time of a HiRISE observation from the start of the first line to the end of the last line computed by multiplying the total number of lines in the array times the line exposure duration. Units of microseconds. ","geo","ASCII_Real","0","1","-1.7976931348623157e308","1.7976931348623157e308","Unbounded","Unbounded","Units_of_Time","none","TBD_classConcept","REAL"
"mro:HiRISE_Instrument_Setting_Parameters:2 mro:delta_line_timer_count:1        ","Attribute","delta_line_timer_count","n/a","mro"," The delta_line_timer_count element provides the commanded count given to the HiRISE instrument to set the scan line duration. mro:scan_line_duration = 74 + mro:delta_line_timer_count/16 ","geo","ASCII_Real","0","1","0","16777216","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","REAL"
"mro:HiRISE_Instrument_Setting_Parameters:2 mro:powered_cpmm_flag_00:1          ","Attribute","powered_cpmm_flag_00","n/a","mro"," The powered_cpmm_flag attribute provides a set of 14 values that identify which HiRISE CCD Processing/Memory Modules were commanded to acquire imaging during the observation. The first element is for CPMM 0 and the last element is for CPMM 13. ","geo","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"mro:HiRISE_Instrument_Setting_Parameters:2 mro:powered_cpmm_flag_00:2           Value:OFF","Value","OFF","","","CPMM powered off"
"mro:HiRISE_Instrument_Setting_Parameters:2 mro:powered_cpmm_flag_00:2           Value:ON","Value","ON","","","CPMM powered on"
"mro:HiRISE_Instrument_Setting_Parameters:2 mro:powered_cpmm_flag_01:1          ","Attribute","powered_cpmm_flag_01","n/a","mro"," The powered_cpmm_flag attribute provides a set of 14 values that identify which HiRISE CCD Processing/Memory Modules were commanded to acquire imaging during the observation. The first element is for CPMM 0 and the last element is for CPMM 13. ","geo","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"mro:HiRISE_Instrument_Setting_Parameters:2 mro:powered_cpmm_flag_01:2           Value:OFF","Value","OFF","","","CPMM powered off"
"mro:HiRISE_Instrument_Setting_Parameters:2 mro:powered_cpmm_flag_01:2           Value:ON","Value","ON","","","CPMM powered on"
"mro:HiRISE_Instrument_Setting_Parameters:2 mro:powered_cpmm_flag_02:1          ","Attribute","powered_cpmm_flag_02","n/a","mro"," The powered_cpmm_flag attribute provides a set of 14 values that identify which HiRISE CCD Processing/Memory Modules were commanded to acquire imaging during the observation. The first element is for CPMM 0 and the last element is for CPMM 13. ","geo","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"mro:HiRISE_Instrument_Setting_Parameters:2 mro:powered_cpmm_flag_02:2           Value:OFF","Value","OFF","","","CPMM powered off"
"mro:HiRISE_Instrument_Setting_Parameters:2 mro:powered_cpmm_flag_02:2           Value:ON","Value","ON","","","CPMM powered on"
"mro:HiRISE_Instrument_Setting_Parameters:2 mro:powered_cpmm_flag_03:1          ","Attribute","powered_cpmm_flag_03","n/a","mro"," The powered_cpmm_flag attribute provides a set of 14 values that identify which HiRISE CCD Processing/Memory Modules were commanded to acquire imaging during the observation. The first element is for CPMM 0 and the last element is for CPMM 13. ","geo","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"mro:HiRISE_Instrument_Setting_Parameters:2 mro:powered_cpmm_flag_03:2           Value:OFF","Value","OFF","","","CPMM powered off"
"mro:HiRISE_Instrument_Setting_Parameters:2 mro:powered_cpmm_flag_03:2           Value:ON","Value","ON","","","CPMM powered on"
"mro:HiRISE_Instrument_Setting_Parameters:2 mro:powered_cpmm_flag_04:1          ","Attribute","powered_cpmm_flag_04","n/a","mro"," The powered_cpmm_flag attribute provides a set of 14 values that identify which HiRISE CCD Processing/Memory Modules were commanded to acquire imaging during the observation. The first element is for CPMM 0 and the last element is for CPMM 13. ","geo","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"mro:HiRISE_Instrument_Setting_Parameters:2 mro:powered_cpmm_flag_04:2           Value:OFF","Value","OFF","","","CPMM powered off"
"mro:HiRISE_Instrument_Setting_Parameters:2 mro:powered_cpmm_flag_04:2           Value:ON","Value","ON","","","CPMM powered on"
"mro:HiRISE_Instrument_Setting_Parameters:2 mro:powered_cpmm_flag_05:1          ","Attribute","powered_cpmm_flag_05","n/a","mro"," The powered_cpmm_flag attribute provides a set of 14 values that identify which HiRISE CCD Processing/Memory Modules were commanded to acquire imaging during the observation. The first element is for CPMM 0 and the last element is for CPMM 13. ","geo","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"mro:HiRISE_Instrument_Setting_Parameters:2 mro:powered_cpmm_flag_05:2           Value:OFF","Value","OFF","","","CPMM powered off"
"mro:HiRISE_Instrument_Setting_Parameters:2 mro:powered_cpmm_flag_05:2           Value:ON","Value","ON","","","CPMM powered on"
"mro:HiRISE_Instrument_Setting_Parameters:2 mro:powered_cpmm_flag_06:1          ","Attribute","powered_cpmm_flag_06","n/a","mro"," The powered_cpmm_flag attribute provides a set of 14 values that identify which HiRISE CCD Processing/Memory Modules were commanded to acquire imaging during the observation. The first element is for CPMM 0 and the last element is for CPMM 13. ","geo","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"mro:HiRISE_Instrument_Setting_Parameters:2 mro:powered_cpmm_flag_06:2           Value:OFF","Value","OFF","","","CPMM powered off"
"mro:HiRISE_Instrument_Setting_Parameters:2 mro:powered_cpmm_flag_06:2           Value:ON","Value","ON","","","CPMM powered on"
"mro:HiRISE_Instrument_Setting_Parameters:2 mro:powered_cpmm_flag_07:1          ","Attribute","powered_cpmm_flag_07","n/a","mro"," The powered_cpmm_flag attribute provides a set of 14 values that identify which HiRISE CCD Processing/Memory Modules were commanded to acquire imaging during the observation. The first element is for CPMM 0 and the last element is for CPMM 13. ","geo","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"mro:HiRISE_Instrument_Setting_Parameters:2 mro:powered_cpmm_flag_07:2           Value:OFF","Value","OFF","","","CPMM powered off"
"mro:HiRISE_Instrument_Setting_Parameters:2 mro:powered_cpmm_flag_07:2           Value:ON","Value","ON","","","CPMM powered on"
